word,phonetic,translation,part_of_speech
boat,,小船；轮船 v. 划船,n
group,,组；团体 adj. 群的；团体的 v. 聚合,n
nineteen,,十九,num
party,,政党；党派；聚会；派对；当事人 [复数 parties] v. 参加社交聚会 [ 过去式 partied 过去分词 partied 现在分词 partying ],n
marriage,,结婚；婚姻生活；密切结合；合并,n
clean,,清洁的；干净的；清白的 v. 使干净 adv. 完全地 n. 打扫,adj
bottle,,瓶子；一瓶的容量 v. 控制；把…装入瓶中,n
tail,,尾巴；踪迹；辫子；燕尾服 v. 尾随；装上尾巴 adj. 从后面而来的；尾部的,n
very,,恰好是；正是；甚至；十足的；特有的 adv. 非常；很；完全 n. (Very)人名；(英)维里,adj
bag,,袋；猎获物；（俚）一瓶啤酒 v. 猎获；把…装入袋中；占据；私吞；使膨大,n
tuesday,,星期二,n
cancel,,取消；删去 n. 取消；撤销,v
map,,映射；计划；绘制地图；确定基因在染色体中的位置 n. 地图；示意图；染色体图,v
grandparent,,祖父母；祖父或祖母；外祖父母；外祖父或外祖母,n
moon,,月亮；月球；月光；卫星 v. 闲荡；出神,n
be,,是；有；存在；做；成为；发生 n. (Be)人名；(缅)拜；(日)部(姓)；(朝)培；(中非)贝,v
america,,美洲（包括北美和南美洲）；美国,n
need,,需要；要求；缺乏；必要之物 v. 需要,n
new,,新的；新鲜的；更新的；初见的 adv. 新近 n. (New)人名；(英)纽,adj
stamp,,邮票；印记；标志；跺脚 v. 铭记；标出；盖章于…；贴邮票于…；用脚踩踏,n
without,,没有；超过；在…外面 adv. 户外；在外面；没有或不显示某事物 n. 外部；外面,prep
quick,,核心；伤口的嫩肉 adj. 快的；迅速的；敏捷的；灵敏的 adv. 迅速地；快,n
joke,,玩笑；笑话；笑柄 v. 开…的玩笑,n
table,,桌子；表格；平地层 v. 制表；搁置；嵌合 adj. 桌子的,n
its,,它的 n. (Its)人名；(俄)伊茨,pron
check,,检查；核对；制止；抑制；在…上打勾 n. <美>支票；制止；抑制；检验；核对,v
giraffe,,长颈鹿,n
picture,,照片；图画；影片；景色；化身 v. 画；想像；描写,n
kiss,,吻；（风等）轻拂 n. 吻；轻拂,v
several,,几个的；各自的 pron. 几个；数个,adj
monitor,,监视器；监听器；监控器；显示屏；班长 v. 监控,n
culture,,文化；文明；修养；栽培 v. [细胞][微] 培养（等于cultivate）,n
taxi,,乘出租车；滑行 n. 出租汽车,v
health,,健康；卫生；保健；兴旺,n
dialogue,,对话；意见交换 vi. 对话 vt. 用对话表达,n
recent,,最近的；近代的,adj
ten,,十个；十 n. (Ten)人名；(英)坦恩；(意)泰恩；(柬)登,num
blue,,蓝色；[复数]（美国海、陆、空三军穿的）蓝色制服；蓝颜料；[the blue(s)][用作单数或复数]布鲁斯（歌曲）（一种伤感的美国黑人民歌） adj. 蓝色的；沮丧的；忧郁的；下流的 v. 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于,n
dark,,黑暗的；深色的；模糊的；无知的；忧郁的 n. 黑暗；夜；黄昏；模糊,adj
order,,命令；顺序；规则；[贸易] 定单 v. 命令；整理；定购,n
egg,,蛋；卵子；家伙；鸡蛋 v. 煽动；怂恿,n
feeling,,感觉；触觉；感情；情绪；同情 adj. 有感觉的；有同情心的；富于感情的 v. 感觉；认为（feel的现在分词）；触摸,n
at,,在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于 n. 阿特（老挝货币基本单位att）；[化]砹（极不稳定放射性元素） abbr. 密封的（airtight）；气温（air temperature）,prep
if,,（表条件）如果；即使；是否；（表假设）假如 n. 条件；设想,conj
piece,,块；件；篇；硬币 v. 修补；接合；凑合,n
he,,男孩；男人；它（雄性动物） pron. 他,n
direct,,直接的；直系的；亲身的；恰好的 v. 管理；指挥；导演；指向 adv. 直接地；正好；按直系关系,adj
rat,,鼠；卑鄙小人；叛徒 v. 捕鼠；背叛；告密,n
brother,,兄弟；同事；战友 int. 我的老兄！,n
geography,,地理；地形,n
advise,,建议；劝告；忠告；通知；警告,v
print,,印刷业；印花布；印刷字体；印章；印记 v. 印刷；打印；刊载；用印刷体写；在…印花样,n
festival,,节日；庆祝；纪念活动；欢乐 adj. 节日的；喜庆的；快乐的,n
along,,一起；向前；来到 prep. 沿着；顺着,adv
forest,,植树于；使成为森林 n. 森林,v
apple,,苹果；苹果树；苹果似的东西；[美俚]炸弹；手榴弹；（棒球的）球；[美俚]人；家伙。,n
salad,,色拉；尤指莴苣,n
rabbit,,兔子；野兔 v. 让…见鬼去吧,n
we,,我们（主格）；笔者；本人（作者或演讲人使用）；朕；寡人 n. (We)人名；(缅)韦,pron
yours,,你（们）的东西；你的责任[义务]；你的家属；来信；尊函 adj. 你（们）的（东西）；信末署名前用语,pron
shop,,商店；店铺 v. 购物,n
theirs,,他们的；她们的；它们的,pron
wet,,[气象][物] 潮湿的；有雨的 n. 雨天；湿气 v. 弄湿,adj
shout,,呼喊；喊叫；大声说 n. 呼喊；呼叫,v
purse,,(女士)手提袋；(国家、家庭、团体等的) 财力 v. （嘴巴）皱起；使缩拢；撅嘴,n
modern,,现代的；近代的；时髦的 n. 现代人；有思想的人,adj
express,,表达；快递 adj. 明确的；迅速的；专门的 n. 快车；快递；专使；捷运公司,v
blackboard,,黑板,n
servant,,仆人；佣人；公务员；雇工,n
hobby,,嗜好；业余爱好,n
winter,,冬季；年岁；萧条期 v. 过冬 adj. 冬天的；越冬的,n
plant,,工厂；车间；植物；设备；庄稼 v. 种植；培养；栽培；安置,n
huge,,巨大的；庞大的；无限的 n. (Huge)人名；(英)休奇,adj
tall,,高的；长的；过分的；夸大的 adv. 夸大地 n. (Tall)人名；(马里、阿拉伯)塔勒；(芬、罗、瑞典)塔尔；(英)托尔；(土)塔勒,adj
rich,,富有的；肥沃的；昂贵的 n. (Rich)人名；(丹)里克；(捷)里赫；(英、西)里奇；(葡、法)里什,adj
please,,使喜欢；使高兴；使满意 int. 请（礼貌用语）,v
paint,,油漆；绘画；装饰；涂色于；描绘；（用语言；文字等）描写；擦脂粉等 n. 油漆；颜料；涂料；绘画作品；胭脂等化妆品；色彩；装饰,v
business,,商业；[贸易] 生意；[贸易] 交易；事情,n
already,,已经；早已；先前,adv
brave,,勇敢的；华丽的 v. 勇敢地面对 n. 勇士,adj
continue,,继续；延续；仍旧；连续,v
cat,,猫；猫科动物,n
discover,,发现；发觉,v
coke,,焦炭；可卡因；可口可乐（Coca-Cola） v. 焦化,n
turn,,转动；使旋转；转弯；翻过来；兑换 n. 转弯；变化；(损害或有益于别人的)行为；举动；举止,v
steam,,蒸；散发；用蒸汽处理 n. 蒸汽；精力 adj. 蒸汽的,v
video,,[电子] 视频；录像；录像机；电视 adj. 视频的；录像的；电视的 v. 录制,n
stupid,,愚蠢的；麻木的；乏味的 n. 傻瓜；笨蛋,adj
anything,,任何事,pron
conversation,,交谈；会话；社交；交往；交际；会谈；（人与计算机的）人机对话,n
part,,部分；角色；零件；一些；片段 v. 分离；分配；分开 adv. 部分地 adj. 部分的,n
door,,门；家；户；门口；通道,n
asleep,,睡着的；麻木的；长眠的 adv. 熟睡地；进入睡眠状态,adj
peace,,和平；平静；和睦；秩序,n
single,,单一的；单身的；单程的 n. 一个；单打；单程票 v. 选出,adj
prove,,证明；检验；显示,v
walk,,步行；走；散步 v. 散步；走过,n
search,,搜寻；调查；探求 n. 搜寻；探究；查究,v
cotton,,棉花；棉布；棉线 v. 一致；理解；和谐；亲近 adj. 棉的；棉制的,n
stomach,,胃；腹部；胃口 v. 忍受；吃下,n
common,,共同的；普通的；一般的；通常的 n. 普通；平民；公有地,adj
cry,,叫喊；哭出；大声说 n. 叫喊；叫声；口号；呼叫,v
sometimes,,有时；间或,adv
hometown,,家乡；故乡,n
standard,,标准；水准；旗；度量衡标准 adj. 标准的；合规格的；公认为优秀的,n
snowy,,下雪的；多雪的；被雪覆盖的；洁白无瑕的,adj
seat,,座位；所在地；职位 v. 使…坐下；可容纳…的；使就职,n
drum,,击鼓；大力争取 n. 鼓；鼓声,v
capital,,首都；省会；资金；大写字母；资本家 adj. 首都的；重要的；大写的,n
officer,,军官；警官；公务员；政府官员；船长 v. 指挥,n
skirt,,裙子 v. 绕过；回避；位于…边缘,n
ship,,运送；乘船；以船运送 n. 船；舰；太空船,v
song,,歌曲；歌唱；诗歌；鸣声,n
special,,特使；特派人员；特刊；特色菜；专车；特价商品 adj. 特别的；专门的；专用的,n
rope,,绳；绳索 v. 捆；绑,n
collect,,收集；募捐 adv. 由收件人付款地 adj. 由收件人付款的 n. (Collect)人名；(英)科莱克特,v
concert,,音乐会；一致；和谐 v. 使协调；协同安排 adj. 音乐会用的；在音乐会上演出的,n
fox,,欺骗；使变酸 n. 狐狸；狡猾的人,v
centre,,以…为中心 n. 中心 adj. 中央的,v
cow,,奶牛；母牛；母兽 v. 威胁；恐吓,n
pupil,,学生；[解剖] 瞳孔；未成年人,n
hardly,,几乎不；简直不；刚刚,adv
cake,,蛋糕；块状物；利益总额 v. 使结块,n
popular,,流行的；通俗的；受欢迎的；大众的；普及的,adj
cheat,,欺骗；骗取 n. 欺骗；作弊；骗子,v
driver,,驾驶员；驱动程序；起子；传动器,n
manage,,管理；经营；控制；设法,v
butter,,涂黄油于；讨好 n. 黄油；奶油；奉承话,v
fan,,煽动；刺激；吹拂 n. 迷；风扇；爱好者,v
height,,高地；高度；身高；顶点,n
retell,,复述；再讲；重述,v
europe,,欧洲,n
holiday,,假日；节日；休息日 v. 外出度假,n
rusia,,鲁西亚（地名）,
kid,,小孩；小山羊 v. 欺骗；取笑；戏弄 adj. 小山羊皮制的；较年幼的,n
nearly,,差不多；几乎；密切地,adv
where,,在哪里 pron. 哪里 conj. 在…的地方 n. 地点,adv
slow,,慢的；减速的；迟钝的 v. 变慢；变萧条 adv. 慢慢地；迟缓地 n. (Slow)人名；(英)斯洛,adj
any,,任何的；所有的；丝毫 pron. 任何；任何一个；若干 adv. 稍微；少许 n. (Any)人名；(法、罗)阿尼,adj
front,,前面；正面；前线 v. 面对；朝向；对付 adj. 前面的；正面的 adv. 在前面；向前,n
above,,超过；在……上面；在……之上 adv. 在上面；在上文 adj. 上文的 n. 上文,prep
smooth,,顺利的；光滑的；平稳的 v. 使光滑；消除（障碍等）；使优雅；缓和 n. 平滑部分；一块平地 adv. 光滑地；平稳地；流畅地,adj
airplane,,飞机,n
choice,,选择；选择权；精选品 adj. 精选的；仔细推敲的,n
live,,活的；生动的；实况转播的；精力充沛的 v. 经历；度过 n. (Live)人名；(法)利夫,adj
death,,死；死亡；死神；毁灭,n
june,,六月；琼（人名；来源于拉丁语；含义是“年轻气盛的六月”）,n
seventeen,,十七；十七个 adj. 十七岁的；十七的；十七个的 num. 十七,n
natural,,自然的；物质的；天生的；不做作的 n. 自然的事情；白痴；本位音,adj
wednesday,,星期三,n
edge,,边缘；优势；刀刃；锋利 v. 使锐利；将…开刃；给…加上边,n
her,,她（she的宾格）；她的（she的所有格）；她（指某个国家；一艘船） n. （法）埃尔（人名）,pron
police,,警察；警方；治安 v. 监督；管辖；维持治安；为…配备警察 adj. 警察的；有关警察的,n
wheat,,小麦；小麦色,n
they,,他们；它们；她们,pron
forty,,四十 adj. 四十的；四十个的,n
week,,周；星期,n
parent,,父亲（或母亲）；父母亲；根源,n
cough,,咳嗽；咳嗽声；咳嗽病 v. 咳出,n
gate,,大门；出入口；门道 v. 给…装大门,n
mother,,母亲；大娘；女修道院院长 v. 生下；养育；像母亲般关怀或照管 adj. 母亲的；出生地的,n
voice,,声音；嗓音；发言权；愿望 v. 表达；吐露,n
important,,重要的；重大的；有地位的；有权力的,adj
thick,,最拥挤部分；活动最多部分；事物的粗大浓密部分 adj. 厚的；浓的；粗大的 adv. 密集地；浓浓地；厚厚地,n
tourist,,旅行者；观光客 adj. 旅游的 vt. 在旅行参观 vi. 旅游；观光 adv. 坐旅游车厢；坐经济舱,n
rubbish,,垃圾；废物；废话 adj. 毫无价值的,n
prepare,,准备；使适合；装备；起草,v
house,,住宅；家庭；机构；议会；某种用途的建筑物 v. 覆盖；给…房子住；把…储藏在房内,n
through,,通过；穿过；凭借 adv. 彻底；从头至尾 adj. 直达的；过境的；完结的,prep
mad,,疯狂的；发疯的；愚蠢的；着迷的 n. 狂怒,adj
queen,,女王；王后；（纸牌中的）皇后；（蜜蜂等的）蜂王 v. 使…成为女王或王后,n
lake,,湖；深红色颜料；胭脂红 vt. （使）血球溶解 vi. （使）血球溶解,n
math,,数学（等于mathematics）,n
home,,家；住宅；产地；家乡；避难所 adv. 在家；回家；深入地 adj. 国内的；家庭的；有效的 v. 归巢；回家,n
often,,常常；时常,adv
box,,箱；盒子；包厢；一拳 v. 拳击,n
talk,,说；谈话；讨论 n. 谈话；演讲；空谈,v
kitchen,,厨房；炊具；炊事人员,n
call,,呼叫；拜访；叫牌 n. 电话；呼叫；要求；访问,v
bee,,蜜蜂；蜂；勤劳的人,n
kilo,,千克,n
period,,周期；期间；时期；月经；课时；（语法学）句点；句号 adj. 某一时代的,n
vegetable,,蔬菜；植物；植物人 adj. 蔬菜的；植物的,n
pull,,拉；拔；拖 n. 拉；拉绳；拉力；牵引力；拖,v
glove,,手套 vt. 给…戴手套,n
you,,你；你们 n. (You)人名；(柬)尤；(东南亚国家华语)猷,pron
march,,三月,n
examine,,检查；调查；检测；考试,v
result,,结果；成绩；答案；比赛结果 v. 结果；导致；产生,n
pleasure,,快乐；希望；娱乐；令人高兴的事 vt. 使高兴；使满意 vi. 高兴；寻欢作乐,n
four,,四；四个 adj. 四的；四个的 n. (Four)人名；(西)福尔；(法)富尔,num
pioneer,,先锋；拓荒者 v. 开辟；倡导；提倡,n
information,,信息；资料；知识；情报；通知,n
society,,社会；交往；社团；社交界,n
compare,,比较 v. 比拟；喻为；[语]构成,n
provide,,提供；规定；准备；装备,v
owner,,[经] 所有者；物主,n
sun,,太阳 v. 使晒,n
always,,永远；一直；总是；常常,adv
way,,方法；道路；方向；行业；习惯 adv. 大大地；远远地 adj. 途中的,n
rather,,宁可；宁愿；相当 int. 当然啦（回答问题时用） n. (Rather)人名；(英)拉瑟,adv
accept,,接受；承认；承担；承兑；容纳,v
cover,,包括；采访；报导；涉及 n. 封面；封皮；盖子；掩蔽物;幌子；借口,v
friday,,星期五,n
cause,,原因；事业；目标 v. 引起；使遭受,n
visitor,,访问者；参观者；视察者；候鸟,n
august,,威严的；令人敬畏的 n. 八月（简写为Aug）,adj
report,,报告；报道；成绩单 v. 报告；报导；使报到,n
borrow,,借；借用；从其他语言中引入 n. (Borrow)人名；(英)博罗,v
sorry,,遗憾的；对不起的；抱歉的 int. 对不起；抱歉（表示委婉的拒绝等）,adj
town,,城镇；市镇；市内商业区,n
connect,,连接；联合；关连,v
sweet,,甜的；悦耳的；芳香的；亲切的 n. 糖果；乐趣；芳香；宝贝,adj
stone,,石头；结石；[宝] 宝石 adj. 石的；石制的 v. 向扔石块；用石头铺,n
anyone,,任何人；任何一个,pron
here,,在这里；此时 int. 嘿！；喂！ n. 这里,adv
back,,后面；背部；靠背；足球等的后卫；书报等的末尾 v. 支持；后退；背书；下赌注 adv. 以前；向后地；来回地；上溯；回来；回原处 adj. 后面的；过去的；拖欠的,n
sugar,,糖；食糖；甜言蜜语 v. 加糖于；粉饰,n
paper,,纸；论文；文件；报纸 adj. 纸做的 v. 用纸糊；用纸包装,n
country,,国家；国土；国民；乡下；农村；乡村；故乡 adj. 祖国的；故乡的；地方的；乡村的；国家的；粗鲁的；乡村音乐的,n
fruit,,水果；产物 v. 结果实,n
aunt,,阿姨；姑妈；伯母；舅妈,n
pair,,一对；一双；一副 v. 把…组成一对,n
busy,,忙碌的；热闹的；正被占用的 v. 使忙于 n. (Busy)人名；(匈)布希；(法)比西,adj
time,,时间；时代；次数；节拍；倍数 v. 计时；测定…的时间；安排…的速度 adj. 定时的；定期的；分期的,n
foreign,,外国的；外交的；异质的；不相关的,adj
prisoner,,囚犯；犯人；俘虏；刑事被告,n
uncle,,叔叔；伯父；伯伯；舅父；姨丈；姑父,n
laugh,,笑；引人发笑的事或人 v. 笑,n
english,,英国人的；英国的；英文的 n. 英语；英国人；英文；英格兰人 vt. 把…译成英语,adj
countryside,,农村；乡下；乡下的全体居民,n
great,,伟大的；重大的；极好的；好的；主要的 n. 大师；大人物；伟人们,adj
vcd,,视频高密光盘（Video Compact Disc）；可变电容二极管（Variable Capacitance Diode）,abbr
cool,,凉爽的；冷静的；出色的 v. 使…冷却；使…平静下来 n. 凉爽；凉爽的空气 adv. 冷静地,adj
sandwich,,夹入；挤进；把做成三明治 n. 三明治；夹心面包,v
appear,,出现；显得；似乎；出庭；登场,v
relax,,放松；休息；松懈；松弛；变从容；休养,v
size,,大小；尺寸 adj. 一定尺寸的 v. 依大小排列,n
chair,,椅子；讲座；（会议的）主席位；大学教授的职位 v. 担任（会议的）主席；使…入座；使就任要职,n
england,,英格兰,n
postcard,,明信片,n
end,,结束；目标；尽头；末端；死亡 v. 结束；终止；终结,n
lie,,躺；说谎；位于；展现 n. 谎言；位置,v
eighth,,第八的；八分之一的 num. 第八；八分之一,adj
windy,,多风的；有风的；腹胀的；吹牛的,adj
attention,,注意力；关心；立正！（口令）,n
believe,,信任；料想；笃信宗教,v
mail,,邮件；邮政；邮递；盔甲 v. 邮寄；给…穿盔甲,n
letter,,信；字母；文字；证书；文学；学问；字面意义 v. 写字母于,n
overcoat,,大衣；外套,n
fun,,乐趣；玩笑；有趣的人或事 adj. 供娱乐用的 vi. 开玩笑,n
sudden,,突然的；意外的；快速的 n. 突然发生的事,adj
gold,,金；黄金；金色；金币 adj. 金的；金制的；金色的,n
engineer,,工程师；工兵；火车司机 v. 设计；策划；精明地处理,n
keyboard,,键盘 v. 键入；用键盘式排字机排字,n
too,,太；也；很；还；非常；过度,adv
doubt,,怀疑；疑问；疑惑 v. 怀疑；不信；恐怕；拿不准,n
outside,,外面的；外部的；外来的 n. 外部；外观 adv. 在外面；向外面；在室外 prep. 在…范围之外,adj
basic,,基本的；基础的 n. 基础；要素,adj
breath,,呼吸；气息；一口气；（呼吸的）一次；瞬间；瞬息；微风；迹象；无声音；气音,n
drawer,,抽屉；开票人；出票人；起草者；酒馆侍,n
until,,在…以前；直到…时 prep. 在…以前；到…为止,conj
passenger,,旅客；乘客；过路人；碍手碍脚的人,n
key,,（打字机等的）键；关键；钥匙 v. 键入；锁上；调节…的音调；提供线索 adj. 关键的,n
remember,,记得；牢记；纪念；代…问好,v
coast,,滑行；沿岸航行 n. 海岸；滑坡,v
tongue,,舌头；语言 v. 舔；斥责；用舌吹,n
basketball,,篮球；篮球运动,n
camel,,[畜牧][脊椎] 骆驼；打捞浮筒；工作作风官僚 adj. 驼色的；暗棕色的 vi. 工作刻板平庸,n
chinese,,中文；汉语；中国人 adj. 中国的；中国人的；中国话的,n
speed,,超速；加速；加速；迅速前行；兴隆 n. 速度；速率；迅速；快速；昌盛；繁荣,v
schoolbag,,书包,n
step,,步；脚步；步骤；步伐；梯级 v. 踏；踩；走,n
umbrella,,雨伞；保护伞；庇护；伞形结构,n
college,,大学；学院；学会,n
show,,显示；说明；演出；展出 n. 显示；表演；炫耀,v
clock,,时钟；计时器 v. 记录；记时,n
volleyball,,排球,n
invention,,发明；发明物；虚构；发明才能,n
although,,尽管；虽然；但是；然而,conj
coffee,,咖啡；咖啡豆；咖啡色,n
cent,,分；一分的硬币；森特（等于半音程的百分之一）,n
purple,,紫色的；帝王的；华而不实的 n. 紫色；紫袍 v. 变成紫色,adj
film,,电影；薄膜；胶卷；轻烟 v. 在…上覆以薄膜；把…拍成电影,n
school,,学校；学院；学派；鱼群 v. 教育,n
useful,,有用的；有益的；有帮助的,adj
dish,,盘；餐具；一盘食物；外貌有吸引力的人 v. 盛于碟盘中；分发；使某人的希望破灭；说（某人）的闲话,n
everywhere,,到处 n. 每个地方,adv
glad,,高兴的；乐意的；令人高兴的；灿烂美丽的 vt. 使高兴 n. (Glad)人名；(塞、瑞典)格拉德；(英)格莱德；(法、挪)格拉,adj
ninety,,九十 adj. 九十的；九十岁的 num. 九十,n
composition,,作文；作曲；作品；[材] 构成；合成物；成分,n
wing,,翼；翅膀；飞翔；派别；侧厅；耳房；厢房 v. 使飞；飞过；空运；增加…速度；装以翼,n
number,,数；（杂志等的）期；号码；数字；算术 v. 计入；总数达到,n
polite,,有礼貌的；客气的；文雅的；上流的；优雅的,adj
dismiss,,解散；解雇；开除；让离开；不予理会、不予考虑,v
doctor,,修理；篡改；伪造；为…治病；授以博士学位 n. 医生；博士,v
tired,,疲倦的；厌倦的；厌烦的 v. 疲倦；对…腻烦（tire的过去分词形式）,adj
crayon,,蜡笔；有色粉笔 v. 以蜡笔作画；用颜色粉笔画,n
interest,,兴趣；爱好；利息；趣味；同行 v. 使……感兴趣；引起……的关心；使……参与,n
wonderful,,极好的；精彩的；绝妙的；奇妙的；美妙；胜；神妙,adj
mine,,矿；矿藏；矿山；矿井；地雷；水雷 v. 开采；采掘；在…布雷 pron. 我的,n
wind,,风；呼吸；气味；卷绕 v. 缠绕；上发条；使弯曲；吹号角；绕住或缠住某人,n
one,,一个人；任何人 adj. 一的；唯一的 n. 一 num. 一；一个,pron
arm,,手臂；武器；袖子；装备；部门 v. 武装起来,n
except,,不计；把…除外 prep. 除…之外 conj. 除了；要不是,v
trust,,信任；信赖；责任；托拉斯 v. 信任；信赖；盼望；赊卖给,n
long,,长时间；[语] 长音节；（服装的）长尺寸；长裤 adj. 长的；过长的；做多头的；长时间的；冗长的；长音 v. 渴望；热望 adv. 长期地；始终,n
other,,其他的；另外的 pron. 另外一个,adj
dozen,,十二个；一打 adj. 一打的,n
fear,,害怕；恐惧；敬畏；担心 v. 害怕；敬畏；为…担心,n
as,,因为；随着；虽然；依照；当…时 prep. 如同；当作；以…的身份 adv. 同样地；和…一样的,conj
before,,在…之前；先于 adv. 以前；在前 conj. 在…以前；在…之前,prep
stream,,溪流；流动；潮流；光线 v. 流；涌进；飘扬,n
after,,后来；以后 prep. 在……之后 conj. 在……之后 adj. 以后的,adv
fix,,使固定；修理；安装；准备 n. 困境；方位；贿赂,v
behaviour,,行为；习性；运行状况（=behavior）,n
room,,房间；空间；余地；机会；房间里所有的人 v. 为…提供住处；租房；合住；投宿；住宿；留…住宿,n
disturb,,打扰；妨碍；使不安；弄乱；使恼怒,v
russian,,俄国的；俄语的 n. 俄语；俄国人,adj
smile,,微笑 n. 微笑；笑容；喜色,v
strict,,严格的；绝对的；精确的；详细的,adj
king,,国王；最有势力者；王棋 vi. 统治；做国王 vt. 立…为王 adj. 主要的；最重要的；最大的,n
communication,,通讯；[通信] 通信；交流；信函,n
toothpaste,,牙膏,n
his,,他的 n. (His)人名；(法)伊斯,pron
value,,值；价值；价格；重要性；确切涵义 v. 评价；重视；估价,n
succeed,,成功；继承；继任；兴旺,v
restaurant,,餐馆；[经] 饭店,n
ability,,能力；能耐；才能,n
spoon,,匙；勺子；一杓的量 v. 用匙舀；使成匙状,n
face,,脸；表面；面子；面容；外观；威信 v. 向；朝,n
shoe,,鞋；蹄铁；外胎 v. 给……穿上鞋；穿……鞋,n
big,,大的；重要的；量大的 adv. 大量地；顺利；夸大地 n. (Big)人名；(土)比格,adj
produce,,生产；引起；创作；生育；繁殖 n. 农产品；产品,v
island,,岛；岛屿；安全岛；岛状物 adj. 岛的 vt. 孤立；使成岛状,n
heavy,,沉重的；繁重的；巨大的；拥挤的；阴沉的 n. 重物；严肃角色 adv. 大量地；笨重地,adj
electric,,电的；电动的；发电的；导电的；令人震惊的 n. 电；电气车辆；带电体,adj
planet,,行星,n
weather,,天气；气象；气候；处境 v. 经受住；使风化；侵蚀；使受风吹雨打 adj. 露天的；迎风的,n
guest,,客人；宾客；顾客 v. 款待；招待 adj. 客人的；特邀的；客座的,n
whom,,谁（who的宾格）,pron
hard,,努力的；硬的；困难的；辛苦的；确实的；严厉的；猛烈的；冷酷无情的 adv. 努力地；困难地；辛苦地；接近地；猛烈地；牢固地 n. (Hard)人名；(英、芬、瑞典)哈德,adj
